candidate_id,dataset,feature_width,fmt_base_average_precision,fmt_base_f1,fmt_feature,fmt_spatial_average_precision,fmt_spatial_f1,gain_base_average_precision,gain_base_f1,gain_spatial_average_precision,gain_spatial_f1,group,raw_pca_base_average_precision,raw_pca_base_f1,raw_pca_spatial_average_precision,raw_pca_spatial_f1,robust_mean_gain,robust_min_gain
c10_aivd6w16,halfcylinderRe640,18,0.9576618290667843,0.895906432748538,aivd6w16,0.955153982105689,0.8841295991213619,0.43183124082669055,0.3756130342155306,0.5989931474149051,0.4912122298127616,halfcylinder,0.5258305882400938,0.5202933985330074,0.356160834690784,0.39291736930860033,0.47441241306747195,0.3756130342155306
c11_aivd6w32,halfcylinderRe640,18,0.9214358128534117,0.8808411214953271,aivd6w32,0.9198913986567031,0.8699945145364784,0.39560522461331793,0.36054772296231974,0.5637305639659191,0.47707714522787803,halfcylinder,0.5258305882400938,0.5202933985330074,0.356160834690784,0.39291736930860033,0.44924016419235874,0.36054772296231974
c12_aivd2w8log,halfcylinderRe640,10,0.9586916153930533,0.8976558033161807,aivd2w8log,0.9455370329978653,0.8835429196282122,0.44347826810771573,0.386949165200549,0.6099780593136319,0.5061473422326348,halfcylinder,0.5152133472853375,0.5107066381156317,0.3355589736842334,0.3773955773955774,0.4866382087136329,0.386949165200549
c13_aivdq2w8,halfcylinderRe640,20,0.9613191472856022,0.9043478260869565,aivdq2w8,0.9566910525083903,0.8907103825136612,0.27257903580842036,0.2542630324182171,0.37471386580879273,0.330872654318935,halfcylinder,0.6887401114771818,0.6500847936687394,0.5819771866995975,0.5598377281947262,0.3081071470885913,0.2542630324182171
c14_aivdq4w16,halfcylinderRe640,28,0.9608193552916706,0.8964326812428078,aivdq4w16,0.9546770513154232,0.8800868149755833,0.19529424239814408,0.19465680861574108,0.25796911095003094,0.27030733271287954,halfcylinder,0.7655251128935265,0.7017758726270668,0.6967079403653923,0.6097794822627037,0.2295568736691989,0.19465680861574108
c15_akin2w8,halfcylinderRe640,40,0.9634145296010856,0.896551724137931,akin2w8,0.958187605972617,0.8790016277807922,0.17944286763377082,0.17994747944379874,0.24225959037410139,0.24887817099066867,halfcylinder,0.7839716619673148,0.7166042446941323,0.7159280155985156,0.6301234567901235,0.2126320271105849,0.17944286763377082
c16_akin4w16,halfcylinderRe640,56,0.9629411153840497,0.8980780430984275,akin4w16,0.9565580102132927,0.8849752339020364,0.18834872142689685,0.1894647260550555,0.24599959957565465,0.2702524805559561,halfcylinder,0.7745923939571528,0.708613317043372,0.710558410637638,0.6147227533460803,0.22351638190339077,0.18834872142689685
c17_all_aivd2w8,halfcylinderRe640,171,0.9455386235105242,0.8745519713261649,fmt_all+aivd2w8,0.935311332777809,0.8490990990990991,0.19334021113228683,0.17487351473452506,0.23214054170569387,0.20570489931392189,halfcylinder,0.7521984123782374,0.6996784565916399,0.7031707910721151,0.6433941997851772,0.2015147917216069,0.17487351473452506
c00_kin2,halfcylinderRe6400,12,0.8390347549320003,0.7792207792207793,kin2,0.7696217965315959,0.6981740064446831,0.45181161441958656,0.33699150871783407,0.3767511932209661,0.2863788693520809,halfcylinder,0.38722314051241374,0.4422292705029452,0.3928706033106298,0.4117951370926022,0.3629832964276169,0.2863788693520809
c01_kin4,halfcylinderRe6400,28,0.859933507406176,0.8007736943907157,kin4,0.7958700309909301,0.7340980187695516,0.3133459001960507,0.23201534993143658,0.3350604957573581,0.26041380824323584,halfcylinder,0.5465876072101253,0.5687583444592791,0.46080953523357204,0.47368421052631576,0.2852088885320203,0.23201534993143658
c02_kin6,halfcylinderRe6400,44,0.8586968255119061,0.8122489959839357,kin6,0.7947448473111752,0.7376873661670236,0.2836107853191079,0.23888173559377457,0.31803815915578204,0.23670697401016083,halfcylinder,0.5750860401927982,0.5733672603901612,0.4767066881553932,0.5009803921568627,0.26930941351970633,0.23670697401016083
c03_all_kin2,halfcylinderRe6400,173,0.7964018493773564,0.7346747777257838,fmt_all+kin2,0.7606125016832906,0.7006172839506173,0.21891726111642262,0.17666632305222818,0.5776978642979141,0.3900163386433924,halfcylinder,0.5774845882609337,0.5580084546735556,0.18291463738537647,0.3106009453072249,0.34082444677748935,0.17666632305222818
c04_all_kin4,halfcylinderRe6400,189,0.811525456989343,0.7520946278955151,fmt_all+kin4,0.7764287855159373,0.7052575677110993,0.24341113313287221,0.19878580436610327,0.5872882538793758,0.39100020747292524,halfcylinder,0.5681143238564708,0.5533088235294118,0.18914053163656158,0.314257360238174,0.3551213497128191,0.19878580436610327
