candidate_id,family_macro_base_average_precision_gain,family_macro_base_f1_gain,family_macro_spatial_average_precision_gain,family_macro_spatial_f1_gain,feature_width,fmt_feature,group,robust_mean_family_macro_gain,robust_min_family_macro_gain
c11_aivd6w32,0.2529475975934654,0.18402784771035163,0.24381969282917626,0.3461951757853099,18,aivd6w32,tangaroa,0.2567475784795758,0.18402784771035163
c14_aivdq4w16,0.24542313227439794,0.17406754490534015,0.21503184591886138,0.17741765312186353,28,aivdq4w16,tangaroa,0.20298504405511575,0.17406754490534015
c13_aivdq2w8,0.2505759163036666,0.17244651044319925,0.2426360558453352,0.3555105139331262,20,aivdq2w8,tangaroa,0.25529224913133186,0.17244651044319925
c07_aivd2w8,0.35656716218439166,0.23287041532361274,0.2861974651729071,0.1693049531395885,10,aivd2w8,tangaroa,0.26123499895512503,0.1693049531395885
c09_aivd4w16,0.3171980654022154,0.21220691472051334,0.27874910096498784,0.16761821197027083,14,aivd4w16,tangaroa,0.24394307326449685,0.16761821197027083
c12_aivd2w8log,0.3548682359005808,0.23120104053496715,0.2853805365973483,0.16712463268369337,10,aivd2w8log,tangaroa,0.2596436114291474,0.16712463268369337
c08_aivd4w8,0.3121392876826705,0.19871943880529175,0.2738895657916113,0.16551516254860943,14,aivd4w8,tangaroa,0.23756586370704574,0.16551516254860943
c06_aivd2w4,0.35258991260234196,0.23403418552082178,0.28425654897743413,0.16186575037278472,10,aivd2w4,tangaroa,0.25818659936834565,0.16186575037278472
c01_kin4,0.22818044769137757,0.14776585429497424,0.2070962541817445,0.1615366395289637,28,kin4,tangaroa,0.186144798924265,0.14776585429497424
c16_akin4w16,0.24659816850025484,0.16764015018999456,0.21065804078641137,0.1440552133371774,56,akin4w16,tangaroa,0.19223789320345955,0.1440552133371774
c05_aivd1w3,0.35248375957236333,0.23120536457872798,0.25991835806894537,0.14271006922189455,8,aivd1w3,tangaroa,0.2465793878604828,0.14271006922189455
c00_kin2,0.27495273306248624,0.16337204852434917,0.24385833580438132,0.13846282600326631,12,kin2,tangaroa,0.20516148584862076,0.13846282600326631
c02_kin6,0.22875810962021337,0.14753403762499295,0.20385002703421995,0.1154584960322459,44,kin6,tangaroa,0.17390016757791804,0.1154584960322459
c15_akin2w8,0.23673847025066752,0.15514990101369508,0.20098854012119516,0.10864458538877142,40,akin2w8,tangaroa,0.1753803741935823,0.10864458538877142
c03_all_kin2,0.17660149460284935,0.09835402762233458,0.17601546892567477,0.08323110227033825,173,fmt_all+kin2,tangaroa,0.13355052335529924,0.08323110227033825
c04_all_kin4,0.1961588638181555,0.11565530632323617,0.19013232127027668,0.08295174137123218,189,fmt_all+kin4,tangaroa,0.14622455819572514,0.08295174137123218
c17_all_aivd2w8,0.22443306286218423,0.13747899364329375,0.2002042143501489,0.08273762328802459,171,fmt_all+aivd2w8,tangaroa,0.16121347353591287,0.08273762328802459
