pool,profile,architecture,points,sampling,augmentation,id,parameters,center_policy,neighbors,encoder_dimensions,standard_convolution,graph_message_passing,current_status
p35,h0,original,32,uniform,none,c120,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,32,uniform,jitter,c121,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,32,uniform,rotate15,c122,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,32,uniform,rotate_so3,c123,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,32,uniform,jitter_rotate15,c124,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,32,uniform,jitter_rotate_so3,c125,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,32,curvature,none,c126,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,32,curvature,jitter,c127,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,32,curvature,rotate15,c128,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,32,curvature,rotate_so3,c129,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,32,curvature,jitter_rotate15,c130,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,32,curvature,jitter_rotate_so3,c131,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,48,uniform,none,c132,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,48,uniform,jitter,c133,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,48,uniform,rotate15,c134,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,48,uniform,rotate_so3,c135,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,48,uniform,jitter_rotate15,c136,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,48,uniform,jitter_rotate_so3,c137,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,48,curvature,none,c138,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,48,curvature,jitter,c139,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,48,curvature,rotate15,c140,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,48,curvature,rotate_so3,c141,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,48,curvature,jitter_rotate15,c142,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,original,48,curvature,jitter_rotate_so3,c143,76738,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,32,uniform,none,c144,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,32,uniform,jitter,c145,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,32,uniform,rotate15,c146,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,32,uniform,rotate_so3,c147,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,32,uniform,jitter_rotate15,c148,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,32,uniform,jitter_rotate_so3,c149,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,32,curvature,none,c150,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,32,curvature,jitter,c151,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,32,curvature,rotate15,c152,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,32,curvature,rotate_so3,c153,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,32,curvature,jitter_rotate15,c154,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,32,curvature,jitter_rotate_so3,c155,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,48,uniform,none,c156,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,48,uniform,jitter,c157,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,48,uniform,rotate15,c158,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,48,uniform,rotate_so3,c159,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,48,uniform,jitter_rotate15,c160,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,48,uniform,jitter_rotate_so3,c161,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,48,curvature,none,c162,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,48,curvature,jitter,c163,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,48,curvature,rotate15,c164,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,48,curvature,rotate_so3,c165,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,48,curvature,jitter_rotate15,c166,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,wide_residual,48,curvature,jitter_rotate_so3,c167,992386,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,32,uniform,none,c168,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,32,uniform,jitter,c169,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,32,uniform,rotate15,c170,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,32,uniform,rotate_so3,c171,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,32,uniform,jitter_rotate15,c172,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
